website,cookie_name,cookie_value,cookie_count,stage,button_text
https://tinycookie.com/,crisp-client%2Fsession%2F99fcaca8-fcfd-459a-9dbe-2d4879fc5dde,session_fbbeb510-073d-44ef-97e0-c720e76e7a3d,3,page_load,
https://tinycookie.com/,XSRF-TOKEN,eyJpdiI6IkJoS1Z6QU5yQjFJNVU5TEc0M3pGUEE9PSIsInZhbHVlIjoiR1I4MTdCS293blAyNjFaZHRUL1B0Q24xNUZ5U3dtTEpkTlNFTmw0WkhGQTdEMDZ6UENna3g5VWEwVkhwZ3BvTFRkUHRVQXJxNHhLbGRsaEhwQUNiREs5VWpJZTBEVjkybjZTNnVLWTFVQ0w0RFFWM2pDUWhCemkrd1ZrOVd0SmQiLCJtYWMiOiI5MDRkYjRhOGIxNmJiODU3ZTg4NjcwYTFiYjQwMGRjNDY5Mzg4YzA4NjE0NmY2OTc1NDY0NTcyYTk0NWIwZmMyIiwidGFnIjoiIn0%3D,3,page_load,
https://tinycookie.com/,tinycookie_session,eyJpdiI6InNKVGIyYkdTcXpTdXAzOFpQMEsvZVE9PSIsInZhbHVlIjoiR1NzZE4rakJ4MVZFM0gydGR1WDZ3WFc2Ry94blpkMm9JV2czQW5HTUdrdjhMUGdscWRDcW0vZFRZNndLRGVuZVQyWWtZc1RlQkJDWWVtK244dVl3WVJBeWVjaDVDaC9ZSjVWU0ovMDhmLzN4RTBEVFFvemZ6ajNYSHQwWjc1cXIiLCJtYWMiOiI2MWVlMjk0NTE0Mjk4YTI2YjlmN2VjZWE3NTE4MDFlYTNkYTU1MWRlMWQzNWYzNTIzZGE4ZDFmNWQ3NjQ3MGFhIiwidGFnIjoiIn0%3D,3,page_load,
https://tinycookie.com/,tinycookie,1,7,after_accept,Accept all
https://tinycookie.com/,tinycookie_session,eyJpdiI6InBWWVRKMEVHMFVGamdVS1pueUVrVnc9PSIsInZhbHVlIjoiZnZYM3ppQTE4cGNpWEdtSVdhTTc4eG5tSllxZUU2MUFKOG8zaUpxenJxRkhxYlowS25vam5acC9ScGd6WEtJQnd0K2dRQlY0VDhvbldBQmVVQUMrdDdCaTN5bHE2dHhyQS9DemtxV043ZnNZbWw3THR5c01tdGhZbElqUnF6ZDgiLCJtYWMiOiJlZWRlMDJmNDNiYTUyMWVhMzE2ZGNmZTg2OWFhZGFmZjE4MGI0NWM3ZWFhNmQyY2I5ODk5NzRiMGRiYTdkM2E3IiwidGFnIjoiIn0%3D,7,after_accept,Accept all
https://tinycookie.com/,XSRF-TOKEN,eyJpdiI6IkRKTU5wMi9mTlA1WjJSOXNvWTlySFE9PSIsInZhbHVlIjoiM1Y0b2FmczZKWnFteGtRRUIrc3YxZG5xVlVtc3d4dmFqeDJOMGMzK3FDUUZ6a1p5VDJKUkx5ZStjZm4zZ1VxMlZMM21NQ1dVRTkrUmkxbDhkMGgwQUl0ZzliU3FxNk1IZnpwSjlBb3pkODBoSHpLTFdVOEpvVk8vNkllazFtYXUiLCJtYWMiOiI1ZmZlMTM0YjJjZTJmNGZkMDQyODgyNzQ4NTE3NTU0M2VjMWJiYTc1ZWE2ODk2MjFiYmU1ZGVmMDQyOWZjOTc4IiwidGFnIjoiIn0%3D,7,after_accept,Accept all
https://tinycookie.com/,crisp-client%2Fsession%2F99fcaca8-fcfd-459a-9dbe-2d4879fc5dde,session_17a4412a-7860-4385-ba66-ac19979e31d6,7,after_accept,Accept all
https://tinycookie.com/,tinycookie_acc,"req,func,anal,mark",7,after_accept,Accept all
https://tinycookie.com/,_ga,GA1.1.668259230.1775452545,7,after_accept,Accept all
https://tinycookie.com/,_ga_KQ1XVE2YEX,GS2.1.s1775452545$o1$g1$t1775452590$j60$l0$h0,7,after_accept,Accept all
